Lowest Structure
kidney epithelial cell
kidney collecting duct epithelial cell
kidney proximal straight tubule epithelial cell
urinary bladder detrusor smooth muscle
neck of urinary bladder
sympathetic nervous system
Renin [Enzymatic activity/volume] in Plasma
epithelial cell of distal tubule
kidney loop of Henle epithelial cell
Osmolality of Urine
renal cortex tubule
kidney collecting duct epithelium
renal cortex interstitium
Albumin [Mass/volume] in Serum or Plasma
renal afferent arteriole
renal glomerulus
Creatinine [Mass/volume] in Serum or Plasma
renal cortex peritubular capillary
renal efferent arteriole
kidney capillary endothelial cell
kidney afferent arteriole cell
kidney collecting duct principal cell
distal convoluted tubule
lymph vasculature
brush border epithelial cell
kidney proximal convoluted tubule epithelial cell
Osmolality of Serum or Plasma
thick ascending limb of loop of Henle
nephron
kidney efferent arteriole endothelial cell
urinary bladder smooth muscle
kidney arterial blood vessel
external urethral sphincter
glomerular capillary endothelial cell
peritubular capillary endothelial cell
epithelial cell of proximal tubule
LOINC:55284-4
ureter
urinary bladder
LOINC:3167-4
urethra
