Organ,Organ_ID
bronchus,UBERON:0002185
digestive system,UBERON:0001007
digestive tract,UBERON:0001007
duodenal gland,UBERON:0001212
female reproductive system,UBERON:0000474
gallbladder,UBERON:0002110
intestine,UBERON:0000160
kidney,UBERON:0002113
liver,UBERON:0002107
lower urinary tract,UBERON:0001556
lung,UBERON:0002048
male reproductive organ,UBERON:0003135
ovary,UBERON:0000992
pancreas,UBERON:0001264
pituitary gland,UBERON:0000007
respiratory airway,UBERON:0001005
small intestine,UBERON:0002108
stomach,UBERON:0000945
thoracic wall,UBERON:0016403
ureter,UBERON:0000056
uterus,UBERON: 0000995
